Fecha,Casos_Diagnostico,Casos_Recuperado,Casos_Muerte,Casos_Activos,Tasa_Contagio,Tasa_Recuperacion,Tasa_Muerte
2020-03-09,1,0.0,0.0,1.0,,,
2020-03-11,3,0.0,0.0,3.0,2.0000008430533875,0.0,0.0
2020-03-14,5,0.0,0.0,5.0,0.666667509720765,0.0,0.0
2020-03-15,6,1.0,0.0,5.0,0.20000042152740455,0.2,0.0
2020-03-19,9,0.0,0.0,9.0,0.6000015174992961,-0.2,0.0
2020-03-20,16,0.0,0.0,16.0,0.7777807284745848,0.0,0.0
2020-03-21,17,0.0,0.0,17.0,0.0625004215293591,0.0,0.0
2020-03-22,19,0.0,0.0,19.0,0.11764790188260298,0.0,0.0
2020-03-23,32,3.0,0.0,29.0,0.6842160062043876,0.15789473684210525,0.0
2020-03-25,38,6.0,0.0,32.0,0.20689934255802775,0.10344827586206896,0.0
2020-03-28,42,11.0,0.0,31.0,0.1250020022830242,0.15625,0.0
2020-03-29,50,18.0,0.0,32.0,0.25806908501344994,0.22580645161290322,0.0
2020-03-30,58,24.0,0.0,34.0,0.25000526919250676,0.1875,0.0
2020-03-31,62,29.0,0.0,33.0,0.11764993519243305,0.14705882352941177,0.0
2020-04-01,63,34.0,0.0,29.0,0.03030382228263749,0.15151515151515152,0.0
2020-04-02,73,36.0,0.0,37.0,0.34483674375026374,0.06896551724137931,0.0
2020-04-03,84,40.0,1.0,43.0,0.297306445843472,0.10810810810810811,0.02702702702702703
2020-04-04,86,44.0,0.0,42.0,0.04651327485958798,0.09302325581395349,-0.023255813953488372
2020-04-05,95,48.0,0.0,47.0,0.21429348269884066,0.09523809523809523,0.0
2020-04-06,100,50.0,0.0,50.0,0.10638723900241485,0.0425531914893617,0.0
2020-04-07,113,55.0,0.0,58.0,0.2600109601514187,0.1,0.0
2020-04-08,140,56.0,0.0,84.0,0.46553941618383954,0.017241379310344827,0.0
2020-04-09,142,60.0,0.0,82.0,0.02381092898083527,0.047619047619047616,0.0
2020-04-10,147,63.0,0.0,84.0,0.0609792597773376,0.036585365853658534,0.0
2020-04-11,150,65.0,0.0,85.0,0.03571649886563196,0.023809523809523808,0.0
